cycle,name,latent_period
135,Residents66,2
147,Residents68,2
163,Residents118,6
223,Residents116,5
257,Staff142,4
284,Residents143,6
303,Residents142,8
311,Residents111,3
314,Residents115,2
333,Staff77,9
385,Residents125,4
388,Residents96,6
389,Residents113,5
426,Staff10,4
451,Residents98,5
455,Residents23,5
473,Staff156,2
487,Residents124,2
494,Residents163,2
518,Residents155,4
522,Residents22,4
531,Residents133,2
540,Residents28,3
559,Residents130,9
581,Residents134,4
628,Residents164,8
647,Residents24,4
682,Residents132,4
864,Staff110,2
869,Staff105,4
916,Staff164,8
921,Residents72,3
952,Residents0,2
956,Residents167,7
960,Staff144,5
964,Residents109,8
968,Residents166,2
984,Residents110,2
1007,Residents90,3
1013,Staff42,6
1025,Residents16,9
1048,Staff135,8
1055,Residents1,7
1057,Residents108,4
1057,Staff153,5
1061,Staff125,2
1069,Residents33,7
1099,Residents43,9
1116,Residents44,3
1147,Residents2,6
1154,Staff32,3
1157,Staff7,2
1294,Residents35,2
1327,Residents91,2
1353,Residents138,5
1379,Residents123,7
1440,Residents26,6
1457,Residents74,5
1845,Staff108,8
