cycle,name,latent_period
108,Residents98,3
168,Residents97,4
330,Staff9,8
399,Residents30,2
399,Staff71,2
400,Residents36,5
402,Staff136,3
411,Residents87,6
414,Residents81,2
428,Residents40,2
468,Residents38,8
480,Residents82,2
484,Residents53,2
487,Residents31,5
522,Residents32,2
525,Residents37,6
557,Residents118,8
594,Residents89,5
599,Residents129,3
610,Residents15,5
620,Residents76,2
642,Residents114,9
644,Staff149,7
686,Residents108,4
688,Staff117,8
724,Residents159,7
744,Residents121,8
776,Residents11,8
789,Residents111,8
789,Residents109,6
807,Residents75,8
837,Staff161,4
919,Staff138,5
922,Staff124,8
925,Staff33,4
991,Residents110,4
995,Residents131,5
1253,Residents172,8
1261,Residents157,2
1300,Residents130,4
1301,Residents77,9
1315,Residents158,6
1334,Residents34,6
1340,Residents156,2
1378,Residents52,9
1389,Residents91,4
1451,Residents28,8
1461,Residents1,4
1462,Residents2,2
1465,Staff2,3
1469,Staff114,6
1514,Residents43,4
1545,Residents29,4
1572,Residents86,3
1574,Residents84,8
1629,Residents42,9
1670,Residents12,3
1684,Residents56,5
1700,Residents153,7
1734,Residents155,7
