cycle,name,latent_period
128,Residents120,4
239,Residents173,5
256,Residents121,4
295,Staff99,7
376,Residents149,7
423,Residents139,5
433,Residents12,2
490,Residents87,7
507,Residents169,6
509,Residents56,7
516,Residents163,3
554,Residents138,8
561,Residents151,3
569,Residents150,7
588,Residents155,6
590,Residents84,7
592,Residents168,5
601,Staff19,9
605,Residents6,5
631,Residents59,7
632,Residents7,3
640,Residents38,2
640,Residents43,4
645,Residents152,4
651,Residents143,5
655,Residents110,6
657,Residents134,4
660,Residents108,5
660,Residents140,3
662,Residents54,2
684,Residents154,5
739,Residents44,9
749,Residents8,6
765,Residents132,9
765,Staff67,7
765,Staff105,4
767,Residents98,5
813,Residents85,7
820,Residents37,3
841,Residents57,8
889,Residents77,3
896,Residents36,3
901,Residents61,3
925,Residents11,8
930,Residents35,5
974,Residents115,2
1063,Residents34,2
1117,Staff137,6
1130,Residents72,4
1138,Residents75,3
1144,Residents33,9
1149,Residents74,8
1157,Residents71,6
1204,Residents146,3
1324,Residents166,2
1346,Residents70,6
1355,Residents172,4
1392,Residents81,4
1399,Residents69,2
1402,Residents167,5
1403,Residents165,7
1411,Residents65,3
1509,Residents171,2
1553,Staff119,4
1553,Staff43,7
1965,Staff72,7
