cycle,name,latent_period
24,Residents36,8
100,Staff155,6
123,Staff119,9
147,Staff54,4
244,Staff142,3
244,Staff149,8
426,Residents104,2
455,Residents138,8
476,Residents103,4
488,Residents106,6
516,Residents101,4
585,Residents111,4
622,Residents97,4
652,Residents107,5
664,Residents102,5
667,Residents98,6
694,Residents28,5
716,Staff91,6
745,Residents29,4
770,Residents121,7
784,Staff131,4
790,Residents120,9
825,Residents99,8
827,Staff21,3
835,Residents124,6
853,Residents122,2
856,Residents171,4
871,Residents114,6
882,Residents167,7
882,Residents165,7
941,Residents172,2
957,Staff61,4
965,Residents173,7
999,Residents166,2
1021,Residents158,7
1023,Residents86,3
1027,Residents81,4
1069,Residents85,8
1103,Residents84,2
1104,Staff135,5
1115,Staff124,8
1138,Residents82,7
1154,Staff110,2
1193,Residents159,7
1300,Staff138,3
1303,Residents79,3
1384,Residents80,5
1391,Residents161,2
1402,Residents78,7
1443,Residents160,3
1464,Residents60,2
1550,Residents149,8
1573,Residents136,3
1617,Residents146,9
1647,Residents133,3
1653,Staff20,2
1657,Residents137,2
1719,Residents68,7
1722,Residents134,7
1735,Residents71,4
1741,Residents10,3
1773,Staff14,5
1773,Staff157,8
1793,Staff165,4
1809,Residents70,6
1835,Residents69,3
1881,Residents9,6
1901,Residents145,2
2048,Residents1,5
2121,Residents12,2
2133,Residents0,5
2261,Residents27,5
2295,Staff28,5
2298,Staff122,7
2347,Staff65,8
