cycle,name,latent_period
44,Staff160,6
94,Residents173,5
98,Residents166,2
162,Residents172,2
203,Staff94,8
253,Residents133,2
273,Residents134,3
299,Residents31,7
300,Residents19,6
300,Residents52,6
308,Residents132,4
310,Residents24,4
332,Residents35,9
333,Residents29,2
336,Residents111,5
384,Residents21,7
401,Residents51,9
413,Staff37,9
420,Residents30,3
457,Staff77,6
473,Staff9,2
496,Residents110,4
503,Residents126,8
503,Residents162,9
510,Residents130,3
525,Residents115,2
531,Residents171,8
538,Residents63,3
543,Residents117,2
544,Residents128,6
549,Staff88,4
550,Residents36,5
550,Residents38,4
559,Residents163,9
569,Residents32,2
591,Residents164,2
606,Residents108,2
618,Residents127,9
644,Residents158,3
671,Residents3,8
684,Residents62,7
684,Residents65,5
700,Residents119,2
712,Residents113,4
719,Residents160,7
730,Residents146,6
736,Residents34,5
740,Residents43,7
849,Residents152,4
892,Residents150,6
910,Residents61,5
913,Residents95,5
953,Residents151,5
1035,Staff130,7
