cycle,name,latent_period
389,Residents14,3
405,Residents44,9
408,Residents42,5
438,Residents21,4
438,Residents50,2
453,Residents98,2
465,Staff44,7
469,Residents75,6
521,Residents101,4
530,Residents43,7
533,Staff57,2
534,Residents120,7
535,Residents168,5
545,Residents49,5
549,Residents12,2
559,Residents22,7
564,Residents74,4
579,Residents76,6
589,Residents112,2
594,Residents1,3
604,Residents20,5
604,Residents113,2
604,Residents163,5
605,Staff20,3
610,Residents0,8
611,Residents26,2
615,Residents147,4
615,Residents149,3
615,Residents144,3
618,Residents19,3
628,Residents73,3
630,Residents82,6
648,Staff71,4
650,Staff89,3
656,Residents111,2
659,Staff87,5
663,Residents145,2
668,Staff96,8
669,Residents72,9
669,Residents100,9
695,Residents169,5
703,Residents2,2
706,Residents18,7
706,Staff154,3
724,Residents47,6
736,Residents45,8
748,Staff25,5
760,Residents55,8
762,Residents107,3
764,Residents128,4
786,Residents105,9
787,Residents106,5
797,Residents148,6
797,Staff62,5
800,Residents119,9
815,Residents56,9
824,Staff50,2
824,Staff43,9
825,Residents117,8
837,Residents23,6
884,Residents54,4
886,Residents114,2
894,Residents118,7
901,Residents65,4
903,Residents24,5
905,Residents25,6
908,Residents104,2
928,Residents116,4
941,Staff40,7
1010,Staff101,8
1208,Residents156,7
1261,Residents160,2
1337,Staff42,7
1340,Staff149,3
1388,Residents159,4
1395,Residents122,3
1414,Residents161,4
