cycle,name,latent_period
92,Residents89,4
313,Residents45,8
340,Residents42,3
369,Residents104,7
386,Residents31,2
391,Residents23,9
392,Residents100,7
395,Residents99,5
402,Residents102,7
403,Residents77,2
415,Residents32,2
418,Residents98,6
418,Residents106,4
426,Residents120,8
428,Staff35,2
443,Residents121,5
463,Staff32,4
469,Residents85,7
482,Staff107,4
484,Staff74,8
485,Residents30,4
485,Residents172,3
490,Residents44,9
496,Residents84,5
506,Residents28,3
513,Residents86,6
513,Residents162,8
516,Residents166,5
517,Residents47,9
519,Residents64,7
523,Residents107,3
523,Staff88,7
524,Residents25,2
530,Residents122,7
533,Residents171,5
545,Staff117,2
549,Residents8,9
549,Residents124,2
554,Staff67,2
557,Residents153,2
560,Residents26,4
570,Staff131,2
580,Residents11,5
590,Residents24,5
605,Staff91,2
607,Residents167,7
626,Staff72,6
629,Staff71,4
633,Residents82,3
644,Residents165,6
650,Staff157,7
658,Residents130,2
658,Staff100,6
660,Residents115,8
666,Staff108,2
669,Residents22,8
672,Residents12,2
673,Staff53,2
675,Residents19,4
688,Staff63,3
696,Staff9,4
699,Staff153,2
699,Staff103,6
706,Residents164,6
707,Residents71,5
708,Residents131,3
717,Residents134,3
728,Residents67,8
738,Residents87,6
744,Staff89,4
745,Staff146,2
747,Residents169,4
748,Residents1,6
749,Staff81,2
751,Residents43,5
753,Residents135,3
765,Staff139,5
771,Residents14,6
774,Residents72,9
784,Residents137,5
794,Staff84,2
799,Residents132,9
808,Staff150,4
819,Staff99,8
821,Staff123,4
839,Residents59,2
882,Staff10,2
923,Residents58,6
927,Staff19,5
964,Residents53,2
964,Residents51,4
1000,Staff168,3
1001,Residents101,2
1003,Staff85,4
1008,Residents57,8
1116,Staff36,2
1152,Residents133,7
