cycle,name,latent_period
168,Residents159,3
469,Residents166,6
568,Staff113,5
642,Staff41,3
805,Residents4,9
828,Residents3,8
1024,Residents5,2
1330,Residents49,3
1351,Residents52,2
1362,Residents50,6
1406,Residents141,4
1408,Residents53,4
1435,Residents51,7
1460,Residents139,9
1482,Residents107,4
1564,Residents30,8
1567,Residents106,2
1584,Staff87,4
1595,Residents67,9
1643,Residents158,3
1662,Residents66,2
1667,Residents128,5
1690,Residents112,4
1709,Staff32,7
1715,Residents81,2
1733,Residents99,5
1737,Residents78,5
1770,Residents71,9
1771,Residents58,2
1776,Residents96,8
1795,Residents113,8
1797,Residents115,6
1807,Residents114,8
1812,Residents111,3
1830,Residents62,7
1839,Residents118,4
1848,Residents34,5
1853,Residents36,6
1944,Residents116,4
1964,Residents100,2
2030,Residents83,5
2043,Residents69,2
2050,Residents61,5
2075,Residents39,5
2202,Staff141,2
2239,Residents60,7
2345,Staff58,9
