cycle,name,latent_period
93,Residents149,3
137,Residents147,3
194,Residents83,9
223,Residents84,3
232,Staff159,3
240,Residents164,7
256,Residents169,2
296,Residents59,7
298,Residents154,3
301,Residents54,9
309,Residents168,2
314,Residents41,6
325,Residents40,5
330,Residents22,7
331,Residents33,2
332,Staff58,2
332,Staff130,2
351,Residents8,4
364,Residents173,7
367,Residents60,2
370,Residents79,2
375,Residents10,6
375,Residents78,2
381,Staff105,8
382,Residents170,2
388,Residents56,4
389,Residents34,8
391,Residents35,2
400,Staff22,2
412,Residents92,3
435,Residents98,5
439,Residents80,3
442,Residents38,4
468,Residents157,2
475,Residents88,8
497,Staff9,2
505,Residents90,2
538,Residents85,5
545,Residents49,3
546,Residents86,7
567,Residents87,3
572,Residents45,9
580,Residents108,5
590,Residents150,9
601,Residents91,3
605,Residents6,5
642,Staff10,4
667,Residents89,4
692,Residents71,8
716,Residents96,2
727,Residents163,5
745,Residents132,3
808,Residents55,5
809,Residents152,5
821,Staff113,9
827,Residents133,2
856,Residents162,4
868,Residents166,2
869,Residents134,4
961,Residents109,2
961,Staff76,7
962,Staff131,6
963,Staff153,7
963,Staff85,7
982,Residents114,6
988,Staff64,3
1025,Residents124,8
1029,Residents115,5
1082,Residents21,7
1089,Residents13,5
1103,Residents47,6
1107,Residents67,5
1135,Residents116,2
1153,Staff95,3
1275,Residents46,3
1720,Residents129,9
1834,Staff1,2
1851,Residents5,7
2072,Residents4,3
2440,Residents50,3
