cycle,name,latent_period
73,Residents28,3
270,Residents104,5
271,Residents102,8
273,Residents50,9
275,Residents88,2
319,Residents89,6
347,Residents16,2
367,Residents0,8
395,Residents139,6
396,Residents15,5
399,Residents101,4
404,Residents131,3
415,Residents2,5
424,Residents1,6
445,Residents79,4
445,Residents103,2
450,Residents129,2
456,Staff97,9
461,Staff167,3
484,Residents44,8
491,Residents83,2
491,Residents82,4
508,Residents85,3
522,Residents158,3
531,Staff130,3
533,Staff116,9
538,Residents37,8
583,Residents70,6
583,Residents125,2
596,Staff48,8
605,Residents81,8
608,Residents109,5
618,Residents80,2
623,Residents86,5
657,Residents71,4
661,Staff77,2
666,Staff9,2
676,Residents84,4
681,Residents96,3
689,Residents156,4
739,Staff2,9
751,Residents122,3
754,Residents69,3
761,Residents108,2
762,Staff105,5
773,Residents38,5
790,Residents97,9
797,Residents36,4
803,Residents161,4
820,Staff39,6
828,Residents35,9
837,Residents68,3
838,Residents121,2
851,Residents33,6
851,Residents171,2
895,Residents155,9
931,Residents120,4
974,Residents159,8
986,Staff74,9
1491,Staff135,4
