cycle,name,latent_period
175,Residents96,8
233,Residents101,8
263,Staff4,9
295,Residents99,4
349,Residents142,7
421,Residents143,4
436,Staff147,6
439,Residents140,5
450,Residents98,4
461,Staff36,8
465,Residents150,8
482,Staff23,4
487,Residents123,5
517,Residents145,7
528,Staff50,2
545,Residents159,3
559,Residents152,5
561,Residents138,8
567,Residents41,6
578,Residents160,6
578,Staff72,9
580,Staff0,8
603,Staff43,2
615,Staff100,9
625,Staff28,6
627,Residents57,7
627,Staff85,2
639,Residents61,9
643,Residents125,2
647,Residents60,7
650,Residents28,3
672,Staff2,6
732,Residents71,8
736,Residents161,6
737,Residents72,3
760,Residents32,3
775,Residents40,7
776,Residents50,2
797,Staff76,2
809,Residents22,2
812,Residents74,9
827,Residents69,8
834,Residents73,4
856,Residents31,7
870,Residents126,2
879,Residents18,5
880,Residents62,5
911,Residents20,7
923,Residents23,8
975,Residents39,4
1007,Staff48,4
1007,Staff30,5
1041,Staff119,7
1057,Residents34,7
1118,Residents46,4
1169,Staff152,5
1173,Residents11,5
1273,Residents88,6
