cycle,name,latent_period
28,Staff139,2
62,Residents152,2
75,Residents18,2
76,Staff13,7
82,Residents20,9
88,Residents151,6
96,Staff109,6
122,Staff153,6
122,Staff1,9
125,Residents102,2
137,Residents68,5
144,Residents94,9
145,Staff155,4
146,Staff36,8
182,Residents66,4
194,Residents79,4
199,Residents172,2
205,Residents75,2
216,Residents19,2
216,Residents103,2
218,Staff149,9
245,Staff100,7
251,Residents61,9
265,Residents157,2
265,Staff60,3
266,Staff42,3
273,Residents76,6
311,Residents85,6
317,Residents167,8
317,Staff12,2
332,Residents92,4
343,Residents27,5
358,Residents80,4
359,Residents158,3
362,Residents62,7
376,Residents59,3
382,Residents74,7
393,Residents40,7
396,Residents82,3
410,Staff34,4
430,Residents29,8
432,Staff132,4
462,Residents57,8
462,Residents109,2
473,Residents110,3
477,Residents156,2
480,Staff80,2
484,Residents77,7
484,Residents86,5
487,Residents120,3
564,Residents58,9
595,Residents3,5
601,Residents154,4
617,Residents73,4
626,Residents126,5
645,Staff45,7
664,Staff160,4
667,Staff145,5
715,Residents50,3
764,Staff8,4
773,Residents139,6
780,Residents153,4
802,Residents115,4
803,Residents114,2
889,Residents162,4
918,Residents140,2
970,Staff147,4
1014,Residents164,5
1028,Residents138,8
1032,Residents163,4
1052,Residents159,7
1069,Residents34,9
1129,Residents31,3
1228,Staff116,7
1325,Staff107,4
