cycle,name,latent_period
47,Residents111,6
51,Residents113,6
71,Residents123,2
74,Residents81,7
76,Residents150,8
86,Residents73,4
86,Residents78,7
94,Residents74,3
125,Residents15,2
125,Residents16,4
127,Residents64,2
134,Residents13,5
136,Staff63,6
145,Residents1,3
146,Residents14,3
148,Residents107,8
151,Residents106,4
153,Residents85,4
155,Residents17,3
160,Residents134,4
162,Residents100,8
168,Staff55,4
170,Residents7,7
174,Residents19,9
176,Residents67,3
176,Residents153,2
177,Residents2,3
179,Residents142,8
193,Staff91,3
197,Residents8,9
198,Residents97,5
200,Residents173,2
201,Residents103,8
202,Residents137,4
208,Residents28,9
208,Residents72,3
216,Residents70,6
225,Residents117,5
225,Residents155,3
226,Residents0,3
227,Residents91,9
228,Residents94,9
232,Residents6,5
239,Residents104,8
240,Residents124,4
241,Residents63,6
245,Residents105,7
245,Staff45,6
246,Residents61,9
255,Residents93,4
257,Residents132,4
258,Staff145,9
260,Staff52,6
263,Residents133,7
266,Residents114,2
267,Residents71,6
269,Residents62,9
269,Residents68,2
270,Residents3,2
272,Residents66,3
272,Staff143,3
274,Residents118,4
280,Residents172,8
292,Residents119,5
299,Residents136,2
304,Residents82,8
304,Residents88,9
309,Staff58,3
309,Staff112,3
313,Residents154,2
315,Residents9,4
316,Residents89,4
320,Residents115,8
323,Residents160,4
325,Residents86,5
326,Residents171,2
330,Residents5,4
342,Residents40,6
343,Residents166,3
357,Staff40,3
360,Staff126,2
362,Residents4,5
363,Residents102,4
390,Residents109,2
409,Residents168,7
410,Residents170,5
423,Residents10,2
430,Residents159,3
435,Residents27,8
440,Residents121,6
447,Residents110,8
448,Residents108,3
453,Residents37,5
496,Residents45,3
