cycle,name,latent_period
80,Residents118,2
95,Residents114,4
161,Staff62,9
191,Residents115,3
213,Residents167,8
215,Staff21,7
220,Staff65,6
243,Staff149,3
244,Staff117,7
253,Residents20,2
257,Residents166,5
262,Residents88,4
263,Staff39,4
274,Staff43,6
287,Staff155,2
289,Staff0,4
290,Staff100,4
291,Residents75,5
291,Staff163,6
292,Staff11,8
301,Residents52,3
305,Residents72,2
305,Residents73,4
312,Residents163,6
312,Staff141,8
323,Residents51,7
324,Residents18,7
324,Residents74,7
325,Residents15,4
328,Residents156,4
329,Residents142,7
332,Staff123,2
332,Staff68,2
335,Residents150,3
336,Staff73,2
336,Staff164,8
337,Staff75,6
340,Staff113,3
346,Residents160,5
355,Residents110,8
357,Residents53,7
363,Residents95,8
366,Residents143,9
366,Residents154,9
372,Residents146,5
375,Residents151,7
378,Staff41,3
383,Residents5,7
389,Staff131,2
390,Residents87,6
407,Residents106,3
407,Residents17,2
408,Residents164,8
422,Residents89,3
422,Residents159,6
422,Residents11,2
423,Residents137,3
423,Residents27,5
425,Residents134,7
429,Residents83,5
433,Staff37,8
443,Residents77,4
443,Residents153,7
457,Residents97,8
457,Staff151,8
461,Residents60,4
462,Residents93,9
464,Staff115,2
467,Staff125,3
467,Staff94,2
476,Residents161,9
481,Residents103,4
482,Residents38,5
486,Residents76,4
491,Residents59,3
496,Residents141,3
499,Residents136,2
501,Staff91,8
504,Residents65,9
508,Staff101,3
530,Residents171,2
544,Residents26,4
596,Residents135,3
597,Staff84,2
604,Residents86,4
607,Residents57,9
640,Staff7,8
641,Residents173,6
648,Residents133,3
652,Residents9,2
655,Residents102,6
664,Residents23,4
667,Residents99,5
668,Staff103,7
673,Staff87,4
682,Residents24,9
772,Residents48,9
