cycle,name,latent_period
48,Residents21,2
78,Residents22,6
123,Staff31,2
124,Staff139,2
142,Residents26,3
144,Staff80,9
146,Staff38,4
148,Residents123,9
149,Residents151,2
167,Staff17,5
174,Residents150,3
201,Residents152,3
207,Residents12,6
225,Residents46,2
250,Staff120,5
266,Residents71,3
269,Staff20,5
275,Residents45,7
288,Residents91,2
293,Staff58,5
293,Staff3,3
303,Residents74,8
307,Residents43,3
318,Residents44,5
329,Staff97,2
336,Residents96,5
364,Staff118,2
365,Residents64,3
366,Residents104,6
380,Residents98,5
383,Residents65,3
389,Residents36,4
401,Residents38,5
409,Staff35,2
422,Residents131,3
428,Staff167,9
460,Staff36,8
465,Residents63,2
468,Staff151,5
474,Residents48,4
480,Residents130,9
540,Residents7,7
558,Residents102,3
561,Residents129,3
572,Residents4,7
744,Residents88,2
780,Residents86,3
814,Residents73,4
825,Staff47,5
863,Residents13,2
873,Staff6,2
878,Residents134,3
1059,Residents62,6
