cycle,name,latent_period
50,Staff88,7
85,Residents134,4
87,Staff106,9
87,Staff21,3
113,Residents17,6
114,Staff17,5
114,Staff89,3
117,Residents10,5
118,Residents123,9
122,Residents43,9
125,Residents100,8
127,Residents14,4
135,Residents46,9
137,Staff58,6
144,Residents113,9
169,Residents79,2
170,Residents118,3
174,Residents119,4
186,Residents124,8
189,Staff162,2
190,Residents165,8
193,Residents91,5
195,Staff3,9
196,Staff19,4
197,Residents47,4
198,Residents33,6
201,Residents80,4
211,Staff77,9
221,Staff149,4
225,Residents92,9
232,Staff112,7
233,Residents145,6
235,Staff70,2
237,Staff161,4
242,Residents84,8
244,Residents132,9
251,Residents30,3
252,Residents58,4
256,Residents34,4
260,Residents15,5
267,Staff22,8
304,Residents9,2
306,Staff102,9
307,Residents126,2
314,Staff28,2
324,Staff121,2
332,Staff10,2
333,Residents131,4
335,Residents61,8
336,Staff116,6
337,Staff54,9
339,Staff33,3
344,Staff34,2
347,Staff99,7
348,Residents68,5
348,Residents117,6
348,Staff16,3
350,Residents146,4
351,Residents37,2
355,Staff150,3
360,Residents54,2
362,Residents128,9
364,Residents22,4
387,Residents65,7
387,Staff164,9
389,Staff145,3
402,Residents56,3
417,Staff38,7
436,Staff25,2
458,Staff126,2
476,Residents153,6
486,Residents38,6
489,Residents26,6
490,Residents127,7
551,Staff117,4
688,Staff13,5
