cycle,name,latent_period
96,Residents131,6
185,Staff34,6
188,Residents158,4
203,Residents160,2
214,Residents156,6
225,Residents68,3
236,Residents33,2
239,Residents66,7
242,Residents67,2
243,Residents4,5
249,Residents163,2
252,Residents161,3
275,Residents72,4
310,Residents71,8
319,Residents157,7
326,Residents154,5
347,Residents155,8
354,Residents70,3
354,Staff120,5
364,Residents159,5
403,Residents38,7
410,Residents17,7
410,Residents5,7
410,Residents170,7
413,Residents122,8
418,Residents7,8
450,Residents121,7
450,Residents8,2
451,Residents65,2
461,Residents63,2
462,Residents69,5
476,Staff89,2
484,Residents112,8
488,Residents2,7
488,Staff138,3
489,Residents97,8
491,Residents108,2
501,Staff128,2
503,Residents80,2
522,Residents96,7
522,Residents110,7
524,Residents91,6
544,Residents22,6
557,Residents62,3
561,Residents55,2
562,Residents59,3
570,Residents83,3
574,Residents82,3
597,Residents79,2
601,Residents3,3
628,Staff114,5
631,Residents90,5
650,Residents85,7
656,Residents58,4
665,Residents81,2
685,Staff151,4
692,Residents78,6
706,Residents32,3
780,Residents30,2
783,Residents84,6
801,Residents171,5
835,Residents86,8
862,Residents173,2
920,Residents28,7
