cycle,name,latent_period
26,Residents164,2
30,Residents170,3
31,Residents162,2
97,Residents132,7
107,Residents133,4
139,Staff107,2
155,Residents130,6
158,Residents127,4
160,Staff159,4
173,Residents107,5
178,Residents60,9
186,Residents169,7
191,Residents53,3
194,Residents70,3
204,Residents129,7
210,Staff165,9
211,Residents52,2
217,Residents93,2
218,Residents20,3
259,Staff143,2
260,Staff137,2
262,Residents67,2
262,Residents95,2
265,Residents94,2
272,Residents122,2
280,Residents121,7
281,Staff13,4
284,Staff116,3
306,Staff123,2
307,Staff160,3
307,Staff15,6
309,Staff146,5
317,Staff109,2
323,Residents120,2
327,Residents66,6
329,Staff156,7
329,Staff122,4
329,Staff55,5
330,Staff35,4
335,Staff2,4
374,Residents36,6
377,Residents126,7
381,Residents146,2
386,Staff90,6
386,Staff136,7
413,Residents147,2
428,Residents167,3
433,Residents74,3
437,Residents73,4
443,Residents51,5
456,Staff64,3
480,Staff162,2
492,Residents57,5
504,Residents144,9
517,Residents42,3
528,Staff111,3
551,Staff33,5
579,Residents37,2
592,Staff46,5
603,Staff114,3
616,Staff85,3
618,Residents138,6
628,Staff131,4
629,Staff21,9
641,Residents44,5
647,Staff89,9
651,Residents19,5
653,Residents153,2
684,Residents55,5
736,Residents77,4
751,Residents139,5
802,Residents145,8
866,Residents46,4
1193,Residents171,4
1246,Residents173,6
1304,Residents172,6
