cycle,name,latent_period
76,Residents51,4
118,Residents48,4
124,Residents78,8
137,Residents123,9
142,Residents88,2
146,Residents49,4
148,Residents89,6
150,Residents98,4
161,Residents118,8
166,Residents167,6
172,Residents24,8
174,Residents128,6
179,Residents12,5
183,Residents130,8
190,Residents53,7
192,Residents97,5
203,Staff3,7
206,Residents129,8
219,Residents52,2
221,Residents27,4
222,Residents124,8
231,Residents29,8
234,Residents80,4
242,Staff136,3
248,Residents87,4
248,Staff133,8
248,Staff64,9
252,Residents66,4
259,Residents117,2
262,Residents101,2
265,Staff98,2
267,Residents143,2
290,Residents13,4
294,Residents68,6
296,Residents153,4
296,Residents159,5
298,Residents21,6
298,Residents23,8
298,Residents71,5
302,Residents16,5
306,Staff39,3
307,Residents14,3
309,Residents93,9
312,Residents18,4
313,Staff81,3
313,Staff165,6
315,Residents84,9
316,Residents99,2
317,Residents158,6
318,Residents46,7
323,Residents45,4
326,Residents110,6
329,Residents82,9
333,Staff154,5
338,Residents127,6
339,Residents2,3
341,Residents0,2
343,Residents173,3
355,Residents47,4
356,Residents169,7
357,Residents28,3
368,Residents15,2
368,Residents22,3
381,Residents81,2
384,Staff145,4
387,Residents26,3
400,Residents1,2
400,Residents8,3
403,Residents142,7
404,Residents125,5
408,Residents79,6
409,Staff97,3
409,Staff144,5
410,Staff0,9
423,Residents131,4
434,Residents155,2
436,Residents108,2
448,Staff14,3
455,Staff95,2
456,Residents172,2
457,Residents74,3
479,Staff90,6
481,Staff55,4
483,Staff50,5
491,Residents6,2
492,Residents7,4
492,Residents109,2
493,Residents90,9
519,Residents112,3
567,Residents126,3
589,Residents3,8
589,Residents5,6
639,Residents111,7
689,Residents25,9
