cycle,name,latent_period
72,Residents41,3
81,Residents27,2
85,Staff33,3
135,Residents22,7
141,Residents156,9
190,Residents63,7
229,Residents24,3
230,Residents25,6
245,Residents3,3
313,Staff65,2
337,Staff13,5
339,Staff132,2
376,Residents5,3
378,Residents158,3
386,Staff47,7
389,Residents66,2
421,Residents111,4
422,Residents152,3
427,Residents59,3
432,Staff17,9
436,Staff36,7
438,Residents16,3
444,Residents69,5
451,Staff23,3
454,Residents43,3
455,Staff66,3
471,Staff99,5
480,Staff97,2
488,Residents139,2
496,Residents141,9
497,Staff45,7
502,Residents147,2
506,Staff29,8
523,Staff52,8
533,Residents61,3
533,Residents98,7
547,Residents47,3
548,Residents70,5
556,Residents127,3
557,Residents113,2
558,Residents10,4
563,Residents7,4
570,Residents18,2
575,Residents74,6
581,Residents44,7
588,Residents49,8
589,Residents131,5
590,Residents68,6
593,Residents140,2
601,Residents58,9
608,Residents149,2
611,Residents38,2
618,Residents60,6
631,Residents125,5
656,Staff157,4
665,Residents50,2
691,Residents48,4
713,Residents52,5
725,Residents124,6
741,Residents97,6
767,Residents9,7
782,Residents121,3
884,Residents53,2
900,Residents110,3
922,Residents120,4
1026,Residents122,6
1143,Staff61,6
