cycle,name,latent_period
32,Residents156,5
129,Residents173,4
241,Residents172,6
250,Residents171,9
580,Residents117,6
645,Staff115,8
725,Residents4,3
736,Residents148,9
840,Residents5,4
873,Residents68,4
905,Residents70,4
913,Residents66,2
916,Staff118,9
932,Residents95,9
949,Residents57,2
959,Residents133,2
964,Staff160,4
971,Residents147,2
974,Residents145,7
980,Residents11,7
991,Residents102,9
1012,Residents115,7
1026,Residents7,7
1035,Residents58,7
1060,Staff119,5
1069,Residents64,2
1106,Staff150,2
1125,Residents63,4
1133,Residents73,3
1156,Residents116,8
1167,Residents93,3
1176,Residents120,3
1181,Residents111,7
1194,Residents72,6
1196,Residents10,3
1197,Residents14,6
1219,Residents131,7
1227,Residents13,5
1246,Residents86,2
1264,Staff106,3
1277,Residents121,3
1287,Staff67,4
1319,Staff31,7
1347,Residents12,4
1353,Residents85,3
1369,Residents114,8
