cycle,name,latent_period
125,Staff143,8
364,Residents157,3
596,Staff103,8
596,Staff84,2
602,Staff36,5
617,Staff130,8
642,Staff132,4
647,Residents97,7
666,Staff148,2
668,Staff156,5
716,Residents99,5
733,Residents31,3
740,Staff32,3
750,Residents170,8
761,Staff112,7
765,Residents23,7
770,Staff125,5
786,Residents44,6
792,Staff118,2
811,Residents148,3
816,Residents96,6
847,Residents166,3
889,Staff13,2
978,Residents43,7
981,Residents167,6
998,Residents165,3
1002,Staff144,3
1075,Residents114,8
1090,Residents117,8
1157,Staff16,3
1314,Staff63,2
