cycle,name,latent_period
44,Residents21,8
88,Residents23,9
173,Residents122,6
174,Residents75,4
175,Residents91,2
196,Staff6,4
207,Residents90,4
240,Staff117,7
255,Residents80,8
258,Residents73,5
262,Residents70,6
271,Residents92,4
271,Staff84,3
281,Staff129,6
289,Staff112,4
304,Staff71,4
308,Residents74,5
312,Residents69,4
322,Residents48,3
322,Residents52,3
322,Residents66,6
330,Staff115,6
332,Residents59,2
332,Staff88,2
333,Staff144,3
336,Staff18,2
338,Residents58,4
354,Residents43,6
355,Staff108,8
356,Residents99,7
366,Residents31,4
368,Residents71,7
370,Residents34,7
371,Residents105,2
381,Residents57,2
398,Residents53,5
399,Residents100,2
421,Residents33,5
452,Staff63,2
461,Staff158,3
465,Residents82,3
473,Staff138,5
474,Residents111,5
480,Staff125,2
481,Residents56,8
484,Residents78,2
495,Residents68,7
497,Residents4,6
509,Staff37,2
513,Residents160,2
514,Residents3,2
516,Residents54,2
525,Staff155,3
530,Residents120,6
531,Residents67,8
544,Residents109,7
554,Residents134,8
572,Staff166,7
592,Staff168,8
607,Residents131,6
624,Residents32,2
625,Residents35,5
627,Residents114,2
631,Residents16,7
651,Staff72,5
670,Residents60,6
672,Residents112,4
683,Residents115,5
685,Residents116,2
685,Staff1,5
687,Residents61,2
709,Residents121,5
717,Residents149,6
724,Residents154,3
731,Residents164,6
746,Residents161,9
760,Residents132,4
775,Residents129,2
781,Residents168,7
795,Residents133,5
805,Residents118,3
849,Residents62,9
879,Residents163,7
893,Residents17,2
1065,Staff94,5
1069,Residents101,8
1083,Residents139,2
1083,Residents24,8
1089,Residents119,6
1129,Staff116,5
1311,Residents97,8
