cycle,name,latent_period
48,Residents50,4
65,Residents48,4
112,Staff103,9
116,Staff135,2
162,Staff102,7
207,Staff125,5
211,Staff146,4
258,Staff109,6
259,Staff68,8
300,Residents65,3
323,Residents36,2
335,Residents14,2
341,Residents173,7
344,Residents83,5
357,Residents85,7
357,Residents167,6
364,Residents144,7
368,Residents43,7
392,Residents165,7
411,Residents86,2
413,Residents72,5
417,Residents82,7
418,Residents11,6
431,Residents13,3
433,Residents38,4
453,Residents166,3
469,Residents63,6
482,Residents69,3
598,Residents94,8
601,Residents42,6
610,Residents130,6
624,Residents37,2
628,Residents149,3
731,Residents148,3
771,Residents35,5
774,Residents44,8
950,Residents3,7
985,Residents4,7
1054,Residents135,8
1056,Residents136,7
1103,Residents27,9
