cycle,name,latent_period
142,Residents24,5
152,Residents3,4
192,Residents7,8
266,Staff70,5
268,Staff90,6
283,Residents8,5
291,Staff92,4
305,Residents100,4
308,Residents19,2
333,Residents104,2
355,Residents103,4
389,Staff8,6
413,Residents35,9
422,Residents31,6
443,Residents102,5
445,Residents53,5
454,Residents33,5
456,Staff126,2
465,Residents6,5
466,Residents94,2
538,Residents20,2
557,Staff77,7
575,Residents28,7
575,Residents37,8
580,Residents30,8
602,Residents32,3
602,Residents95,2
602,Staff130,5
619,Residents144,4
641,Residents140,7
647,Residents141,9
648,Residents146,8
652,Residents127,9
669,Residents42,7
680,Residents98,3
703,Residents142,3
715,Residents43,4
717,Residents143,3
805,Residents36,7
806,Residents111,5
809,Residents110,6
813,Residents109,3
814,Residents108,2
815,Residents155,2
818,Residents21,2
818,Residents88,5
826,Residents171,3
836,Staff78,6
839,Residents27,4
844,Residents48,6
853,Residents96,2
854,Residents119,6
866,Residents153,5
868,Staff30,8
874,Residents163,8
887,Residents115,6
895,Residents117,8
897,Residents68,5
905,Residents114,6
907,Residents132,9
917,Residents89,4
935,Residents23,2
937,Residents101,5
939,Residents29,2
941,Residents112,3
981,Staff144,9
992,Staff14,5
1012,Residents139,9
1012,Residents118,6
1071,Residents41,9
1080,Staff131,9
1120,Residents162,7
