cycle,name,latent_period
133,Staff38,7
180,Residents28,3
231,Staff61,3
231,Staff40,2
259,Staff24,9
269,Residents39,2
281,Staff81,6
281,Staff73,5
290,Staff85,7
290,Staff120,2
296,Residents168,2
306,Staff150,9
308,Residents167,5
313,Residents21,3
317,Residents90,6
317,Residents140,6
321,Residents139,5
329,Staff11,5
330,Residents172,6
338,Residents173,7
339,Residents31,4
339,Residents27,2
339,Residents71,2
340,Residents11,4
359,Residents91,2
378,Residents113,9
382,Residents70,2
386,Residents24,7
386,Residents118,7
393,Residents9,7
405,Residents84,8
410,Residents6,7
420,Residents22,2
426,Residents68,3
432,Residents112,7
442,Residents108,7
442,Staff21,9
450,Residents10,8
451,Staff104,7
451,Staff9,9
457,Staff35,2
458,Residents130,8
461,Staff2,5
469,Staff7,7
474,Staff87,5
475,Staff156,4
475,Staff32,4
476,Staff115,2
476,Staff125,4
482,Staff72,3
483,Residents129,3
485,Residents169,5
490,Residents107,6
498,Staff34,8
500,Staff84,5
501,Residents77,3
503,Staff13,7
512,Residents81,8
516,Residents83,2
534,Residents131,9
551,Residents111,6
568,Residents85,2
570,Staff27,7
577,Residents80,8
577,Residents86,5
596,Staff15,5
597,Staff94,7
604,Staff149,3
611,Residents117,9
623,Staff78,2
629,Staff49,3
638,Residents82,6
644,Staff92,2
652,Staff122,5
652,Staff163,7
655,Residents72,2
658,Residents65,9
664,Residents76,3
816,Staff162,8
