cycle,name,latent_period
33,Residents83,2
157,Residents49,7
174,Residents81,4
218,Residents28,2
233,Residents150,7
234,Residents152,2
250,Residents13,5
256,Residents9,7
297,Residents21,3
304,Residents48,5
313,Residents14,2
322,Residents26,7
368,Staff164,7
370,Residents151,8
402,Residents24,8
410,Residents39,2
413,Residents22,8
420,Residents23,2
422,Residents32,2
442,Residents50,7
460,Residents60,5
474,Residents127,9
475,Staff71,6
479,Residents20,7
487,Residents99,5
493,Residents41,2
498,Residents120,6
507,Staff146,8
524,Residents25,8
555,Staff136,4
573,Residents78,9
576,Residents74,2
576,Residents126,7
647,Residents79,2
652,Staff70,6
665,Staff43,9
669,Staff137,2
679,Residents97,7
682,Residents98,2
685,Residents85,4
693,Staff99,5
716,Residents103,4
717,Residents100,4
722,Residents96,7
732,Residents173,6
737,Staff78,6
744,Residents102,3
812,Residents104,7
859,Residents101,3
