cycle,name,latent_period
144,Residents65,8
178,Staff148,2
333,Staff102,2
474,Staff103,5
514,Residents154,6
544,Staff7,2
580,Residents155,5
662,Residents68,6
717,Residents45,3
728,Residents94,4
759,Residents50,3
767,Residents49,5
812,Residents47,2
826,Residents30,2
830,Residents32,2
831,Residents93,3
839,Residents46,5
839,Residents67,3
846,Residents17,3
890,Residents66,2
894,Residents48,9
913,Staff47,2
934,Residents31,2
981,Residents126,5
996,Residents34,6
1005,Staff93,9
1037,Residents129,2
1037,Staff61,3
1063,Residents81,8
1073,Residents44,6
1107,Residents83,7
1108,Staff86,9
1170,Residents87,3
