cycle,name,latent_period
160,Staff8,8
162,Staff166,4
188,Residents148,7
232,Staff80,8
233,Staff135,9
281,Staff133,7
308,Staff132,6
377,Staff138,8
432,Residents44,4
472,Staff6,7
480,Staff156,2
484,Residents43,5
568,Residents47,3
595,Staff46,3
610,Residents105,8
615,Staff73,2
617,Staff2,4
618,Residents16,6
625,Residents17,4
642,Residents171,3
644,Staff103,6
647,Residents9,5
659,Residents110,5
666,Staff65,3
715,Residents102,7
738,Staff118,7
740,Residents49,5
741,Residents11,5
751,Residents50,7
769,Residents6,5
773,Residents68,2
779,Residents15,2
787,Residents5,3
792,Residents95,2
795,Residents98,7
795,Residents167,2
813,Staff17,9
816,Residents101,7
827,Staff57,7
834,Staff122,5
854,Residents130,7
856,Residents66,3
910,Residents166,2
913,Residents7,6
935,Residents133,4
970,Staff121,9
970,Staff83,2
976,Residents142,3
981,Residents141,3
987,Staff53,9
1011,Residents100,8
1019,Residents96,3
1050,Residents131,4
1058,Staff10,2
1106,Residents106,2
1139,Residents156,3
1156,Staff152,6
1163,Staff97,3
1255,Residents72,7
1260,Residents157,3
1268,Residents12,8
1283,Residents74,8
1395,Residents73,2
1439,Residents52,2
1538,Residents162,2
1653,Residents163,7
1674,Staff84,4
