cycle,name,latent_period
83,Residents78,2
112,Residents91,5
146,Residents112,5
146,Residents113,8
151,Residents159,9
173,Staff132,7
189,Residents81,3
252,Residents115,5
267,Residents111,6
291,Staff102,7
292,Staff61,3
308,Residents58,9
329,Staff163,4
344,Residents29,2
349,Residents114,3
362,Staff119,3
378,Residents30,9
396,Residents8,5
409,Staff62,3
416,Residents27,9
419,Residents161,4
427,Staff166,2
433,Staff16,2
435,Residents89,3
450,Residents88,4
452,Staff58,6
454,Residents116,6
455,Residents51,2
474,Staff39,2
475,Staff36,2
485,Staff73,9
487,Residents76,7
490,Residents164,2
501,Residents40,2
504,Staff19,4
525,Residents87,2
530,Residents85,3
540,Residents59,5
548,Staff3,5
549,Staff108,5
558,Residents75,8
593,Staff74,3
595,Staff84,3
624,Residents7,9
667,Residents74,4
749,Residents61,8
754,Residents151,7
