cycle,name,latent_period
30,Residents103,3
116,Staff128,8
122,Residents54,4
142,Residents102,4
172,Staff158,7
225,Residents31,2
233,Residents155,8
245,Staff154,2
261,Staff117,3
271,Residents63,2
274,Residents81,5
276,Residents164,6
288,Residents83,2
311,Residents154,7
316,Residents64,2
316,Staff163,3
316,Staff60,2
320,Residents122,6
323,Residents85,6
328,Residents162,2
341,Residents84,9
371,Residents2,3
379,Staff141,3
383,Residents86,2
406,Residents114,2
417,Residents15,7
423,Residents113,4
441,Residents112,5
443,Residents18,8
456,Residents139,3
458,Residents1,5
460,Staff153,2
480,Staff31,2
496,Staff25,9
508,Residents119,8
531,Residents115,6
532,Staff50,9
576,Staff127,5
600,Residents23,3
619,Residents133,7
678,Residents129,8
733,Residents132,3
754,Residents56,2
772,Residents140,3
1037,Residents47,3
