cycle,name,latent_period
205,Residents2,5
215,Residents15,4
224,Staff4,4
243,Residents96,2
258,Residents26,5
284,Residents46,6
285,Residents112,4
285,Residents165,4
295,Residents167,9
296,Residents110,4
297,Residents23,3
301,Residents98,6
308,Residents22,3
333,Staff0,3
336,Residents103,3
352,Staff148,2
354,Residents18,8
365,Residents21,3
365,Staff150,8
375,Residents51,2
384,Staff64,4
386,Staff40,2
398,Residents72,3
401,Staff72,3
401,Staff1,7
409,Residents49,4
409,Staff79,7
411,Residents109,3
413,Residents69,7
416,Staff87,3
417,Residents122,2
419,Residents66,5
421,Residents85,6
422,Residents90,8
425,Staff106,4
437,Residents43,6
441,Residents52,3
448,Residents47,9
448,Staff61,4
451,Staff155,7
455,Residents60,5
456,Staff135,3
458,Residents14,4
460,Residents91,2
464,Residents125,6
468,Residents64,8
474,Staff140,9
487,Residents38,7
488,Staff25,8
491,Residents11,2
491,Residents32,4
492,Staff55,2
499,Residents74,2
502,Residents73,2
504,Residents39,7
510,Residents113,4
513,Residents138,9
513,Staff69,9
516,Residents36,2
517,Residents31,2
517,Residents59,4
520,Residents166,8
528,Staff77,5
530,Staff16,4
532,Residents13,2
535,Residents163,6
535,Residents102,6
536,Residents70,3
544,Residents48,9
544,Staff7,3
546,Residents76,2
548,Residents118,4
560,Residents172,9
562,Residents50,5
563,Residents92,3
572,Residents86,7
581,Residents146,4
586,Residents8,6
600,Staff104,2
604,Residents75,4
606,Residents9,5
618,Residents3,3
619,Residents140,4
624,Staff26,4
627,Residents116,8
632,Staff120,2
644,Staff164,5
647,Residents83,2
660,Residents84,4
664,Staff15,8
669,Staff17,7
670,Residents17,8
695,Residents156,9
696,Residents170,6
698,Residents132,6
719,Residents145,8
723,Residents144,5
728,Staff18,5
741,Residents171,7
749,Staff60,2
751,Residents10,6
769,Staff145,9
792,Residents65,7
817,Staff41,6
852,Residents168,4
853,Residents63,4
863,Residents135,3
916,Residents158,3
1220,Staff111,2
1220,Staff30,6
1267,Staff142,2
