cycle,name,latent_period
76,Residents60,2
103,Residents119,3
113,Residents168,9
139,Residents2,8
139,Residents1,4
173,Staff114,5
180,Residents125,8
186,Staff84,2
204,Staff72,5
221,Staff80,2
233,Staff156,4
240,Residents0,3
240,Staff103,3
251,Staff7,7
258,Staff21,6
266,Residents169,2
269,Staff166,5
283,Residents88,6
283,Staff167,4
283,Staff128,4
284,Residents105,5
286,Residents136,2
297,Staff0,9
307,Residents55,2
307,Residents69,3
309,Staff20,4
309,Staff41,2
312,Staff70,9
312,Staff39,3
316,Residents121,6
316,Staff50,4
316,Staff91,3
317,Staff119,5
323,Residents31,5
327,Residents50,5
328,Residents56,8
332,Staff146,4
353,Staff1,3
358,Residents45,8
372,Residents28,4
376,Residents81,7
388,Staff109,7
391,Residents49,9
395,Residents147,8
407,Residents113,8
416,Staff85,2
421,Residents135,5
428,Staff141,4
432,Residents71,8
438,Residents76,3
440,Staff117,8
442,Residents148,2
451,Staff87,4
459,Staff135,8
472,Residents126,2
472,Staff163,6
472,Staff101,6
473,Staff144,5
473,Staff76,4
475,Staff136,8
478,Residents82,7
479,Staff64,2
481,Residents103,2
482,Residents85,3
483,Staff140,8
499,Residents7,3
533,Staff38,6
568,Residents95,4
578,Staff151,6
581,Staff138,3
581,Staff82,7
600,Staff122,5
637,Staff62,2
695,Residents80,3
698,Residents114,2
718,Residents93,4
749,Residents25,2
888,Residents24,6
892,Residents167,2
892,Residents54,5
917,Residents21,8
944,Residents128,4
953,Staff52,6
1018,Residents66,2
1072,Staff74,2
1072,Staff31,7
1168,Staff19,9
