cycle,name,latent_period
57,Residents99,7
132,Staff158,3
166,Residents57,6
197,Residents98,7
244,Staff164,3
244,Staff167,4
244,Staff112,3
244,Staff96,2
251,Residents32,5
274,Residents39,4
280,Staff168,2
288,Staff39,7
291,Staff63,2
302,Residents124,6
307,Residents3,7
309,Staff150,9
309,Staff118,4
311,Residents145,8
321,Residents47,3
334,Residents40,4
341,Residents31,6
344,Residents34,4
350,Residents144,2
350,Residents123,4
356,Staff116,5
375,Staff124,5
380,Staff129,7
385,Residents70,2
386,Residents41,2
387,Residents97,2
400,Residents166,7
400,Residents96,7
403,Staff157,6
404,Residents125,4
420,Residents42,5
432,Residents89,5
433,Residents58,9
437,Residents74,5
441,Residents69,6
449,Residents88,7
449,Residents108,3
450,Staff107,7
451,Residents45,2
451,Staff21,6
462,Residents126,7
474,Residents35,6
476,Residents38,6
476,Residents110,6
487,Residents85,3
493,Residents51,7
510,Residents137,5
511,Residents118,6
527,Residents87,5
547,Residents141,4
548,Residents134,5
549,Residents63,4
550,Residents136,6
552,Staff125,7
573,Residents173,3
594,Residents27,5
599,Residents78,9
600,Residents135,7
602,Residents91,6
607,Residents64,5
620,Staff114,4
631,Residents43,3
633,Residents171,7
642,Residents165,2
647,Residents14,4
653,Residents65,4
659,Residents158,6
661,Residents133,4
663,Residents12,8
666,Residents167,4
671,Staff47,4
674,Residents147,2
688,Residents61,7
719,Residents148,6
719,Staff3,2
726,Residents149,3
830,Residents157,3
956,Residents114,6
