seed,cycle,LastInfection,I,E,S_r,I_r,I_s,E_s,H,Cumulative_I,Cumulative_I_r,Cumulative_I_s,Cumulative_H,D,Tests_r,Tests_s,GlobalShedding_p,Introduction_p,TestingFreq,Test_sensitivity,PPE_OR,Vaccination_OR_S,vaccination_dist,VaccineEff
47.0,8,0,0,0,174,0,0,0,0,0,0,0,0,0,58,170,0.38,0.05,3,0.95,0.1467,0.0619,0.3,A
47.0,32,0,1,1,173,1,0,0,0,0,0,0,0,0,58,170,0.38,0.05,3,0.95,0.1467,0.0619,0.3,A
47.0,56,52,2,3,173,1,1,2,1,1,0,2,1,0,58,170,0.38,0.05,3,0.95,0.1467,0.0619,0.3,A
47.0,80,52,1,1,173,1,0,0,1,1,0,2,1,0,116,338,0.38,0.05,3,0.95,0.1467,0.0619,0.3,A
47.0,104,52,1,1,173,1,0,0,1,1,0,2,1,0,116,338,0.38,0.05,3,0.95,0.1467,0.0619,0.3,A
47.0,128,52,1,1,173,1,0,0,1,1,0,2,1,0,116,338,0.38,0.05,3,0.95,0.1467,0.0619,0.3,A
47.0,152,52,1,1,173,1,0,0,1,1,0,2,1,0,174,506,0.38,0.05,3,0.95,0.1467,0.0619,0.3,A
47.0,176,52,1,1,173,1,0,0,1,1,0,2,1,0,174,506,0.38,0.05,3,0.95,0.1467,0.0619,0.3,A
47.0,200,52,1,1,173,1,0,0,1,1,0,2,1,0,174,506,0.38,0.05,3,0.95,0.1467,0.0619,0.3,A
47.0,224,52,0,0,173,0,0,0,1,1,0,2,1,0,232,674,0.38,0.05,3,0.95,0.1467,0.0619,0.3,A
47.0,248,52,0,0,173,0,0,0,1,1,0,2,1,0,232,674,0.38,0.05,3,0.95,0.1467,0.0619,0.3,A
47.0,272,52,0,0,173,0,0,0,1,1,0,2,1,0,232,674,0.38,0.05,3,0.95,0.1467,0.0619,0.3,A
47.0,296,52,0,0,173,0,0,0,0,1,0,2,1,1,290,842,0.38,0.05,3,0.95,0.1467,0.0619,0.3,A
47.0,320,52,1,1,173,0,1,1,0,1,0,3,1,1,290,842,0.38,0.05,3,0.95,0.1467,0.0619,0.3,A
47.0,344,52,1,1,173,0,1,1,0,1,0,3,1,1,290,842,0.38,0.05,3,0.95,0.1467,0.0619,0.3,A
47.0,368,52,0,0,173,0,0,0,0,1,0,3,1,1,348,1009,0.38,0.05,3,0.95,0.1467,0.0619,0.3,A
47.0,392,52,0,0,173,0,0,0,0,1,0,3,1,1,348,1009,0.38,0.05,3,0.95,0.1467,0.0619,0.3,A
