seed,cycle,LastInfection,I,E,S_r,I_r,I_s,E_s,H,Cumulative_I,Cumulative_I_r,Cumulative_I_s,Cumulative_H,D,Tests_r,Tests_s,GlobalShedding_p,Introduction_p,TestingFreq,Test_sensitivity,PPE_OR,Vaccination_OR_S,vaccination_dist,VaccineEff
79.0,8,0,0,0,174,0,0,0,0,0,0,0,0,0,58,170,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
79.0,32,0,2,2,173,1,1,1,0,0,0,1,0,0,58,170,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
79.0,56,0,2,2,173,1,1,1,0,0,0,1,0,0,58,170,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
79.0,80,0,2,2,173,1,1,1,0,0,0,1,0,0,58,170,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
79.0,104,96,2,3,173,1,1,2,0,1,0,2,0,0,58,170,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
79.0,128,96,2,2,173,1,1,1,0,1,0,2,0,0,116,339,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
79.0,152,96,3,3,173,1,2,2,0,1,0,3,0,0,116,339,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
79.0,176,96,3,3,173,1,2,2,0,1,0,3,0,0,116,339,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
79.0,200,96,4,4,173,1,3,3,0,1,0,4,0,0,116,339,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
79.0,224,96,3,3,173,0,3,3,0,1,0,5,0,0,116,339,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
79.0,248,227,0,0,173,0,0,0,0,2,0,7,0,0,174,503,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
79.0,272,227,0,0,173,0,0,0,0,2,0,7,0,0,174,503,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
79.0,296,227,0,0,173,0,0,0,0,2,0,7,0,0,174,503,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
79.0,320,227,0,0,173,0,0,0,0,2,0,7,0,0,174,503,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
79.0,344,227,0,0,173,0,0,0,0,2,0,7,0,0,174,503,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
79.0,368,227,0,0,173,0,0,0,0,2,0,7,0,0,232,667,0.38,0.1,5,0.8,0.3408,0.1357,0.7,B
